,Imóvel,Preço (R$),Aluguel (R$),Bairro,Área (m²),Quartos,Banheiros,Vagas
60,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
61,Apartamento,0,2600,Bela Vista,48,1,1,0
62,Apartamento,0,4500,Perdizes,140,3,3,2
63,Sala/Conjunto,0,1950,República,65,0,2,0
64,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
65,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
66,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
67,Apartamento,250,1051,Liberdade,30,1,1,0
68,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
69,Apartamento,650,1700,Consolação,50,2,1,1
70,Apartamento,925,3999,Itaim Bibi,95,2,1,0
71,Casa,2350,950,Jardim Japão,40,1,1,0
72,Apartamento,590,1100,Vila Andrade,35,1,1,1
73,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
74,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
75,Apartamento,651,1500,Vila Água Funda,75,2,2,1
76,Apartamento,1150,3200,Vila Mariana,110,3,2,1
77,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
78,Apartamento,850,5900,Sumaré,74,2,3,2
79,Apartamento,450,3200,Indianópolis,36,1,1,0
80,Apartamento,0,1350,Vila Madalena,24,1,1,0
81,Apartamento,536,2800,Brooklin,47,1,1,1
82,Sala/Conjunto,0,1700,Santana,60,0,1,0
83,Apartamento,480,1500,Brás,49,2,1,1
84,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
85,Apartamento,550,2000,Moema,54,1,1,1
86,Apartamento,410,1800,Vila Mariana,44,1,1,0
87,Apartamento,506,2100,Barra Funda,60,2,2,1
88,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
89,Sala/Conjunto,0,600,República,20,0,1,0
90,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
91,Apartamento,700,2300,Jaguaré,70,3,2,2
92,Apartamento,724,1800,Vila Paulista,76,3,2,1
93,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
94,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
95,Apartamento,781,1800,Sumaré,50,1,1,1
96,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
97,Apartamento,0,2600,Bela Vista,48,1,1,0
98,Apartamento,0,4500,Perdizes,140,3,3,2
99,Sala/Conjunto,0,1950,República,65,0,2,0
100,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
101,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
102,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
103,Apartamento,250,1051,Liberdade,30,1,1,0
104,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
105,Apartamento,650,1700,Consolação,50,2,1,1
106,Apartamento,925,3999,Itaim Bibi,95,2,1,0
107,Casa,2350,950,Jardim Japão,40,1,1,0
108,Apartamento,590,1100,Vila Andrade,35,1,1,1
109,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
110,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
111,Apartamento,651,1500,Vila Água Funda,75,2,2,1
112,Apartamento,1150,3200,Vila Mariana,110,3,2,1
113,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
114,Apartamento,850,5900,Sumaré,74,2,3,2
115,Apartamento,450,3200,Indianópolis,36,1,1,0
116,Apartamento,0,1350,Vila Madalena,24,1,1,0
117,Apartamento,536,2800,Brooklin,47,1,1,1
118,Sala/Conjunto,0,1700,Santana,60,0,1,0
119,Apartamento,480,1500,Brás,49,2,1,1
120,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
121,Apartamento,550,2000,Moema,54,1,1,1
122,Apartamento,410,1800,Vila Mariana,44,1,1,0
123,Apartamento,506,2100,Barra Funda,60,2,2,1
124,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
125,Sala/Conjunto,0,600,República,20,0,1,0
126,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
127,Apartamento,700,2300,Jaguaré,70,3,2,2
128,Apartamento,724,1800,Vila Paulista,76,3,2,1
129,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
130,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
131,Apartamento,781,1800,Sumaré,50,1,1,1
132,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
133,Apartamento,0,2600,Bela Vista,48,1,1,0
134,Apartamento,0,4500,Perdizes,140,3,3,2
135,Sala/Conjunto,0,1950,República,65,0,2,0
136,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
137,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
138,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
139,Apartamento,250,1051,Liberdade,30,1,1,0
140,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
141,Apartamento,650,1700,Consolação,50,2,1,1
142,Apartamento,925,3999,Itaim Bibi,95,2,1,0
143,Casa,2350,950,Jardim Japão,40,1,1,0
144,Apartamento,590,1100,Vila Andrade,35,1,1,1
145,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
146,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
147,Apartamento,651,1500,Vila Água Funda,75,2,2,1
148,Apartamento,1150,3200,Vila Mariana,110,3,2,1
149,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
150,Apartamento,850,5900,Sumaré,74,2,3,2
151,Apartamento,450,3200,Indianópolis,36,1,1,0
152,Apartamento,0,1350,Vila Madalena,24,1,1,0
153,Apartamento,536,2800,Brooklin,47,1,1,1
154,Sala/Conjunto,0,1700,Santana,60,0,1,0
155,Apartamento,480,1500,Brás,49,2,1,1
156,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
157,Apartamento,550,2000,Moema,54,1,1,1
158,Apartamento,410,1800,Vila Mariana,44,1,1,0
159,Apartamento,506,2100,Barra Funda,60,2,2,1
160,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
161,Sala/Conjunto,0,600,República,20,0,1,0
162,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
163,Apartamento,700,2300,Jaguaré,70,3,2,2
164,Apartamento,724,1800,Vila Paulista,76,3,2,1
165,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
166,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
167,Apartamento,781,1800,Sumaré,50,1,1,1
168,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
169,Apartamento,0,2600,Bela Vista,48,1,1,0
170,Apartamento,0,4500,Perdizes,140,3,3,2
171,Sala/Conjunto,0,1950,República,65,0,2,0
172,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
173,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
174,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
175,Apartamento,250,1051,Liberdade,30,1,1,0
176,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
177,Apartamento,650,1700,Consolação,50,2,1,1
178,Apartamento,925,3999,Itaim Bibi,95,2,1,0
179,Casa,2350,950,Jardim Japão,40,1,1,0
180,Apartamento,590,1100,Vila Andrade,35,1,1,1
181,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
182,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
183,Apartamento,651,1500,Vila Água Funda,75,2,2,1
184,Apartamento,1150,3200,Vila Mariana,110,3,2,1
185,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
186,Apartamento,850,5900,Sumaré,74,2,3,2
187,Apartamento,450,3200,Indianópolis,36,1,1,0
188,Apartamento,0,1350,Vila Madalena,24,1,1,0
189,Apartamento,536,2800,Brooklin,47,1,1,1
190,Sala/Conjunto,0,1700,Santana,60,0,1,0
191,Apartamento,480,1500,Brás,49,2,1,1
192,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
193,Apartamento,550,2000,Moema,54,1,1,1
194,Apartamento,410,1800,Vila Mariana,44,1,1,0
195,Apartamento,506,2100,Barra Funda,60,2,2,1
196,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
197,Sala/Conjunto,0,600,República,20,0,1,0
198,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
199,Apartamento,700,2300,Jaguaré,70,3,2,2
200,Apartamento,724,1800,Vila Paulista,76,3,2,1
201,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
202,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
203,Apartamento,781,1800,Sumaré,50,1,1,1
204,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
205,Apartamento,0,2600,Bela Vista,48,1,1,0
206,Apartamento,0,4500,Perdizes,140,3,3,2
207,Sala/Conjunto,0,1950,República,65,0,2,0
208,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
209,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
210,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
211,Apartamento,250,1051,Liberdade,30,1,1,0
212,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
213,Apartamento,650,1700,Consolação,50,2,1,1
214,Apartamento,925,3999,Itaim Bibi,95,2,1,0
215,Casa,2350,950,Jardim Japão,40,1,1,0
216,Apartamento,590,1100,Vila Andrade,35,1,1,1
217,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
218,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
219,Apartamento,651,1500,Vila Água Funda,75,2,2,1
220,Apartamento,1150,3200,Vila Mariana,110,3,2,1
221,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
222,Apartamento,850,5900,Sumaré,74,2,3,2
223,Apartamento,450,3200,Indianópolis,36,1,1,0
224,Apartamento,0,1350,Vila Madalena,24,1,1,0
225,Apartamento,536,2800,Brooklin,47,1,1,1
226,Sala/Conjunto,0,1700,Santana,60,0,1,0
227,Apartamento,480,1500,Brás,49,2,1,1
228,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
229,Apartamento,550,2000,Moema,54,1,1,1
230,Apartamento,410,1800,Vila Mariana,44,1,1,0
231,Apartamento,506,2100,Barra Funda,60,2,2,1
232,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
233,Sala/Conjunto,0,600,República,20,0,1,0
234,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
235,Apartamento,700,2300,Jaguaré,70,3,2,2
236,Apartamento,724,1800,Vila Paulista,76,3,2,1
237,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
238,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
239,Apartamento,781,1800,Sumaré,50,1,1,1
240,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
241,Apartamento,0,2600,Bela Vista,48,1,1,0
242,Apartamento,0,4500,Perdizes,140,3,3,2
243,Sala/Conjunto,0,1950,República,65,0,2,0
244,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
245,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
246,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
247,Apartamento,250,1051,Liberdade,30,1,1,0
248,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
249,Apartamento,650,1700,Consolação,50,2,1,1
250,Apartamento,925,3999,Itaim Bibi,95,2,1,0
251,Casa,2350,950,Jardim Japão,40,1,1,0
252,Apartamento,590,1100,Vila Andrade,35,1,1,1
253,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
254,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
255,Apartamento,651,1500,Vila Água Funda,75,2,2,1
256,Apartamento,1150,3200,Vila Mariana,110,3,2,1
257,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
258,Apartamento,850,5900,Sumaré,74,2,3,2
259,Apartamento,450,3200,Indianópolis,36,1,1,0
260,Apartamento,0,1350,Vila Madalena,24,1,1,0
261,Apartamento,536,2800,Brooklin,47,1,1,1
262,Sala/Conjunto,0,1700,Santana,60,0,1,0
263,Apartamento,480,1500,Brás,49,2,1,1
264,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
265,Apartamento,550,2000,Moema,54,1,1,1
266,Apartamento,410,1800,Vila Mariana,44,1,1,0
267,Apartamento,506,2100,Barra Funda,60,2,2,1
268,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
269,Sala/Conjunto,0,600,República,20,0,1,0
270,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
271,Apartamento,700,2300,Jaguaré,70,3,2,2
272,Apartamento,724,1800,Vila Paulista,76,3,2,1
273,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
274,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
275,Apartamento,781,1800,Sumaré,50,1,1,1
276,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
277,Apartamento,0,2600,Bela Vista,48,1,1,0
278,Apartamento,0,4500,Perdizes,140,3,3,2
279,Sala/Conjunto,0,1950,República,65,0,2,0
280,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
281,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
282,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
283,Apartamento,250,1051,Liberdade,30,1,1,0
284,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
285,Apartamento,650,1700,Consolação,50,2,1,1
286,Apartamento,925,3999,Itaim Bibi,95,2,1,0
287,Casa,2350,950,Jardim Japão,40,1,1,0
288,Apartamento,590,1100,Vila Andrade,35,1,1,1
289,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
290,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
291,Apartamento,651,1500,Vila Água Funda,75,2,2,1
292,Apartamento,1150,3200,Vila Mariana,110,3,2,1
293,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
294,Apartamento,850,5900,Sumaré,74,2,3,2
295,Apartamento,450,3200,Indianópolis,36,1,1,0
296,Apartamento,0,1350,Vila Madalena,24,1,1,0
297,Apartamento,536,2800,Brooklin,47,1,1,1
298,Sala/Conjunto,0,1700,Santana,60,0,1,0
299,Apartamento,480,1500,Brás,49,2,1,1
300,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
301,Apartamento,550,2000,Moema,54,1,1,1
302,Apartamento,410,1800,Vila Mariana,44,1,1,0
303,Apartamento,506,2100,Barra Funda,60,2,2,1
304,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
305,Sala/Conjunto,0,600,República,20,0,1,0
306,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
307,Apartamento,700,2300,Jaguaré,70,3,2,2
308,Apartamento,724,1800,Vila Paulista,76,3,2,1
309,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
310,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
311,Apartamento,781,1800,Sumaré,50,1,1,1
312,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
313,Apartamento,0,2600,Bela Vista,48,1,1,0
314,Apartamento,0,4500,Perdizes,140,3,3,2
315,Sala/Conjunto,0,1950,República,65,0,2,0
316,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
317,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
318,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
319,Apartamento,250,1051,Liberdade,30,1,1,0
320,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
321,Apartamento,650,1700,Consolação,50,2,1,1
322,Apartamento,925,3999,Itaim Bibi,95,2,1,0
323,Casa,2350,950,Jardim Japão,40,1,1,0
324,Apartamento,590,1100,Vila Andrade,35,1,1,1
325,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
326,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
327,Apartamento,651,1500,Vila Água Funda,75,2,2,1
328,Apartamento,1150,3200,Vila Mariana,110,3,2,1
329,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
330,Apartamento,850,5900,Sumaré,74,2,3,2
331,Apartamento,450,3200,Indianópolis,36,1,1,0
332,Apartamento,0,1350,Vila Madalena,24,1,1,0
333,Apartamento,536,2800,Brooklin,47,1,1,1
334,Sala/Conjunto,0,1700,Santana,60,0,1,0
335,Apartamento,480,1500,Brás,49,2,1,1
336,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
337,Apartamento,550,2000,Moema,54,1,1,1
338,Apartamento,410,1800,Vila Mariana,44,1,1,0
339,Apartamento,506,2100,Barra Funda,60,2,2,1
340,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
341,Sala/Conjunto,0,600,República,20,0,1,0
342,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
343,Apartamento,700,2300,Jaguaré,70,3,2,2
344,Apartamento,724,1800,Vila Paulista,76,3,2,1
345,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
346,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
347,Apartamento,781,1800,Sumaré,50,1,1,1
348,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
349,Apartamento,0,2600,Bela Vista,48,1,1,0
350,Apartamento,0,4500,Perdizes,140,3,3,2
351,Sala/Conjunto,0,1950,República,65,0,2,0
352,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
353,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
354,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
355,Apartamento,250,1051,Liberdade,30,1,1,0
356,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
357,Apartamento,650,1700,Consolação,50,2,1,1
358,Apartamento,925,3999,Itaim Bibi,95,2,1,0
359,Casa,2350,950,Jardim Japão,40,1,1,0
360,Apartamento,590,1100,Vila Andrade,35,1,1,1
361,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
362,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
363,Apartamento,651,1500,Vila Água Funda,75,2,2,1
364,Apartamento,1150,3200,Vila Mariana,110,3,2,1
365,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
366,Apartamento,850,5900,Sumaré,74,2,3,2
367,Apartamento,450,3200,Indianópolis,36,1,1,0
368,Apartamento,0,1350,Vila Madalena,24,1,1,0
369,Apartamento,536,2800,Brooklin,47,1,1,1
370,Sala/Conjunto,0,1700,Santana,60,0,1,0
371,Apartamento,480,1500,Brás,49,2,1,1
372,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
373,Apartamento,550,2000,Moema,54,1,1,1
374,Apartamento,410,1800,Vila Mariana,44,1,1,0
375,Apartamento,506,2100,Barra Funda,60,2,2,1
376,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
377,Sala/Conjunto,0,600,República,20,0,1,0
378,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
379,Apartamento,700,2300,Jaguaré,70,3,2,2
380,Apartamento,724,1800,Vila Paulista,76,3,2,1
381,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
382,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
383,Apartamento,781,1800,Sumaré,50,1,1,1
384,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
385,Apartamento,0,2600,Bela Vista,48,1,1,0
386,Apartamento,0,4500,Perdizes,140,3,3,2
387,Sala/Conjunto,0,1950,República,65,0,2,0
388,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
389,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
390,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
391,Apartamento,250,1051,Liberdade,30,1,1,0
392,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
393,Apartamento,650,1700,Consolação,50,2,1,1
394,Apartamento,925,3999,Itaim Bibi,95,2,1,0
395,Casa,2350,950,Jardim Japão,40,1,1,0
396,Apartamento,590,1100,Vila Andrade,35,1,1,1
397,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
398,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
399,Apartamento,651,1500,Vila Água Funda,75,2,2,1
400,Apartamento,1150,3200,Vila Mariana,110,3,2,1
401,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
402,Apartamento,850,5900,Sumaré,74,2,3,2
403,Apartamento,450,3200,Indianópolis,36,1,1,0
404,Apartamento,0,1350,Vila Madalena,24,1,1,0
405,Apartamento,536,2800,Brooklin,47,1,1,1
406,Sala/Conjunto,0,1700,Santana,60,0,1,0
407,Apartamento,480,1500,Brás,49,2,1,1
408,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
409,Apartamento,550,2000,Moema,54,1,1,1
410,Apartamento,410,1800,Vila Mariana,44,1,1,0
411,Apartamento,506,2100,Barra Funda,60,2,2,1
412,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
413,Sala/Conjunto,0,600,República,20,0,1,0
414,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
415,Apartamento,700,2300,Jaguaré,70,3,2,2
416,Apartamento,724,1800,Vila Paulista,76,3,2,1
417,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
418,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
419,Apartamento,781,1800,Sumaré,50,1,1,1
420,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
421,Apartamento,0,2600,Bela Vista,48,1,1,0
422,Apartamento,0,4500,Perdizes,140,3,3,2
423,Sala/Conjunto,0,1950,República,65,0,2,0
424,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
425,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
426,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
427,Apartamento,250,1051,Liberdade,30,1,1,0
428,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
429,Apartamento,650,1700,Consolação,50,2,1,1
430,Apartamento,925,3999,Itaim Bibi,95,2,1,0
431,Casa,2350,950,Jardim Japão,40,1,1,0
432,Apartamento,590,1100,Vila Andrade,35,1,1,1
433,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
434,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
435,Apartamento,651,1500,Vila Água Funda,75,2,2,1
436,Apartamento,1150,3200,Vila Mariana,110,3,2,1
437,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
438,Apartamento,850,5900,Sumaré,74,2,3,2
439,Apartamento,450,3200,Indianópolis,36,1,1,0
440,Apartamento,0,1350,Vila Madalena,24,1,1,0
441,Apartamento,536,2800,Brooklin,47,1,1,1
442,Sala/Conjunto,0,1700,Santana,60,0,1,0
443,Apartamento,480,1500,Brás,49,2,1,1
444,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
445,Apartamento,550,2000,Moema,54,1,1,1
446,Apartamento,410,1800,Vila Mariana,44,1,1,0
447,Apartamento,506,2100,Barra Funda,60,2,2,1
448,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
449,Sala/Conjunto,0,600,República,20,0,1,0
450,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
451,Apartamento,700,2300,Jaguaré,70,3,2,2
452,Apartamento,724,1800,Vila Paulista,76,3,2,1
453,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
454,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
455,Apartamento,781,1800,Sumaré,50,1,1,1
456,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
457,Apartamento,0,2600,Bela Vista,48,1,1,0
458,Apartamento,0,4500,Perdizes,140,3,3,2
459,Sala/Conjunto,0,1950,República,65,0,2,0
460,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
461,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
462,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
463,Apartamento,250,1051,Liberdade,30,1,1,0
464,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
465,Apartamento,650,1700,Consolação,50,2,1,1
466,Apartamento,925,3999,Itaim Bibi,95,2,1,0
467,Casa,2350,950,Jardim Japão,40,1,1,0
468,Apartamento,590,1100,Vila Andrade,35,1,1,1
469,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
470,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
471,Apartamento,651,1500,Vila Água Funda,75,2,2,1
472,Apartamento,1150,3200,Vila Mariana,110,3,2,1
473,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
474,Apartamento,850,5900,Sumaré,74,2,3,2
475,Apartamento,450,3200,Indianópolis,36,1,1,0
